B_Height_cms,B_Weight_lbs,B_avg_LEG_att,B_avg_SIG_STR_pct,gender,B_avg_CLINCH_att,B_age,R_Weight_lbs,B_win_by_Submission,B_avg_TOTAL_STR_att,R_avg_opp_HEAD_landed,R_avg_opp_CTRL_time(seconds),B_avg_opp_TOTAL_STR_landed,B_win_by_TKO_Doctor_Stoppage,R_avg_LEG_landed,B_avg_opp_CTRL_time(seconds),B_avg_LEG_landed,B_avg_HEAD_att,B_avg_TOTAL_STR_landed,B_avg_opp_GROUND_landed,B_Reach_cms
160.02,125.0,5.0,0.665,0,4.375,27.0,115.0,2.0,109.5,33.5625,381.6875,24.5,0.0,9.8125,43.0,4.75,56.5,68.625,0.25,167.64
175.26,155.0,12.5,0.48,1,25.3525390625,34.0,155.0,0.0,75.0,27.0,15.0,64.0,0.0,2.0,381.0,9.875,37.0,47.0,13.65625,185.42
177.8,145.0,5.0,0.32,1,6.25,23.0,145.0,0.0,98.4140625,9.0,3.0,19.75,0.0,8.0,610.0,4.0,71.0,37.0,3.40625,177.8
182.88,170.0,14.0,0.5700000000000001,1,37.0,26.0,170.0,0.0,177.0,31.5,141.5,44.5,0.0,8.0,221.5,12.0,81.5,124.5,1.0,185.42
177.8,155.0,6.5,0.51,1,23.0,28.0,155.0,0.0,124.5,20.70916748046875,61.0,88.5,0.0,9.099609375,317.5,5.0,61.0,78.0,16.0,177.8
182.88,185.0,3.0,0.64,1,6.6875,30.0,170.0,0.0,139.5,32.234375,238.0,54.0,0.0,6.5,15.0,3.0,103.0,96.01416015625,13.0,193.04
185.42,170.0,4.625,0.5800000000000001,1,9.0,27.0,185.0,0.0,136.25,67.0,213.0,85.375,0.0,7.0,320.125,4.375,64.5,99.25,2.625,193.04
172.72,145.0,6.875,0.5762499999999999,1,17.875,26.0,145.0,0.0,134.25,10.00390625,145.02734375,52.25,0.0,8.92578125,73.0,5.125,58.25,87.125,1.0,172.72
175.26,170.0,0.671875,0.30203125,1,2.46875,30.0,170.0,0.0,108.828125,15.78125,17.816650390625,61.484375,0.0,3.8125,29.796875,0.546875,93.234375,31.328125,1.9375,182.88
185.42,205.0,10.2750244140625,0.507823486328125,1,2.517333984375,37.0,205.0,0.0,145.6295166015625,19.5810546875,114.3154296875,40.947265625,0.0,14.521484375,14.5819091796875,6.5054931640625,95.2626953125,90.2685546875,4.3341064453125,193.04
172.72,170.0,1.0,0.2,1,0.0,26.0,155.0,0.0,23.0,26.0,173.5,2.0,0.0,6.5,0.0,0.0,19.0,7.0,0.0,177.80000000000004
170.18,135.0,18.0,0.36,0,7.0,27.0,135.0,0.0,168.0,35.5,133.375,88.0,0.0,15.75,178.0,11.0,126.0,66.0,1.0,167.64
182.88,170.0,19.244140625,0.4505859375,1,11.251953125,30.0,155.0,2.0,177.611328125,36.26956543006236,4.790911136195064,77.693359375,0.0,8.466708231251687,52.9384765625,17.5908203125,129.8212890625,84.4345703125,6.3740234375,193.04
170.18,155.0,2.75,0.6425,1,13.6875,30.0,155.0,1.0,59.25,11.5625,306.0,29.5625,1.0,4.09375,197.8125,2.3125,32.4375,37.875,5.75,172.72
180.34,145.0,1.875,0.41125,1,12.53125,26.0,155.0,1.0,86.21875,46.6875,43.4375,52.96875,0.0,12.1875,181.1875,1.65625,45.09375,51.4375,5.625,177.8
177.8,195.0,7.2421875,0.5825,1,3.0,28.0,225.0,0.0,125.8125,1.75,0.0,58.95849609375,0.0,0.25,194.4375,6.25,80.0,70.5,0.25,185.42
190.5,205.0,0.875,0.47140625,1,2.046875,32.0,205.0,1.0,40.578125,43.9375,335.03125,19.671875,0.0,0.03125,105.8125,0.515625,32.1875,17.296875,3.125,203.2
175.26,170.0,3.93359375,0.44494140625,1,2.30078125,28.0,170.0,0.0,52.486328125,12.65625,56.90625,24.064453125,1.0,5.84375,10.26953125,3.83984375,41.5703125,22.798828125,0.30078125,180.34
167.64,145.0,5.25,0.595,0,5.0,29.0,145.0,1.0,86.25,14.588623046875,58.34033203125,42.75,0.0,10.0244140625,28.5,4.75,50.75,56.25,1.75,172.72
177.8,155.0,1.0234375,0.4164843749999999,1,2.5625,25.0,155.0,2.0,57.734375,0.953125,39.34375,29.7109375,0.0,0.203125,59.7265625,1.015625,20.921875,39.2109375,2.4375,180.34
172.72,155.0,3.0,0.0,1,0.0,29.0,170.0,0.0,3.0,15.0,425.625,6.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,185.42
182.88,185.0,3.75,0.18875,1,1.25,28.0,185.0,0.0,85.0,3.5,147.0,61.0,0.0,0.5,166.75,2.5,65.875,30.375,5.375,185.42
165.1,135.0,2.0,0.63,1,0.5,26.0,135.0,1.0,15.0,8.0,157.0,36.0,0.0,7.5,316.5,2.0,8.0,9.5,3.5,177.8
177.8,170.0,8.6171875,0.521796875,1,8.9609375,27.0,170.0,0.0,64.06640625,9.5455322265625,178.2965087890625,37.57421875,0.0,1.932861328125,43.140625,8.1640625,43.11328125,32.48046875,1.265625,180.34
175.26,155.0,10.0,0.36,1,6.0,24.0,155.0,0.0,112.0,35.41064453125,12.43798828125,69.0,0.0,22.31494140625,0.0,5.0,82.0,42.0,0.0,180.34
177.8,155.0,5.0,0.48,1,10.5,34.0,155.0,0.0,101.0,24.5,73.0,43.5,0.0,2.0,463.0,4.0,45.575439453125,56.6875,5.5,187.96
182.88,185.0,1.0,0.28,1,5.875,29.0,185.0,0.0,86.65625,2.25,187.1875,52.859375,0.0,0.125,152.5,0.0,51.0,40.25,2.0,187.96
170.18,135.0,3.0,0.48,1,2.0,30.0,135.0,0.0,62.0,10.1875,70.6875,75.5,0.0,9.625,291.5,2.5,35.0,39.5,14.5,175.26
177.8,155.0,1.0,0.475,1,1.25,32.0,155.0,1.0,31.0,8.625,108.25,12.75,0.0,1.125,1.5,1.0,22.75,17.75,0.0,182.88
160.02,125.0,8.75,0.5125,1,13.25,30.0,135.0,0.0,126.25,19.25,127.25,77.5,0.0,8.5,200.75,6.75,84.25,70.5,2.5,162.56
193.04,145.0,6.0,0.51,1,3.5,23.0,145.0,0.0,90.046875,39.15625,263.46875,50.5,0.0,8.53125,161.0,6.0,81.75,40.75,1.5,200.66
170.18,145.0,4.1484375,0.6214843750000001,1,1.96875,35.0,145.0,3.0,145.171875,63.118873596191406,20.29485321044922,41.6171875,0.0,20.9619369506836,235.5625,4.0859375,58.4140625,109.2265625,3.65625,175.26
193.04,250.0,0.828125,0.2957031249999999,1,3.9609375,32.0,265.0,1.0,59.4609375,10.109375,5.390625,60.859375,1.0,2.609375,230.890625,0.8203125,49.484375,16.46875,7.0,210.82
180.34,170.0,7.0830078125,0.4716503906249999,1,33.306640625,28.0,170.0,2.0,156.267578125,30.59375,103.71875,52.330078125,1.0,5.59375,300.8759765625,5.1611328125,102.97265625,94.625,2.265625,182.88
165.1,125.0,9.625,0.5825,0,12.25,25.0,115.0,0.0,119.375,32.40234375,133.13671875,37.25,0.0,13.6953125,132.125,8.125,65.625,66.75,3.375,167.64
175.26,155.0,9.945175170898438,0.48391845703125,1,14.287399291992188,28.0,155.0,3.0,145.54029846191406,22.5625,39.3125,51.68818664550781,0.0,3.0625,46.30836486816406,5.608306884765625,112.50379943847656,74.5587158203125,2.169158935546875,182.88
175.26,185.0,3.0,0.88,1,3.0,32.0,210.0,0.0,14.0,5.5,0.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,0.0,185.42
182.88,170.0,11.448394775390623,0.54,1,4.625,34.0,170.0,0.0,83.0,10.5625,75.9375,54.0,0.0,8.28125,241.5,7.203125,65.625,36.46875,2.5,193.04
185.42,170.0,3.302734375,0.72,1,4.0,34.0,170.0,0.0,51.79217529296875,13.09375,84.375,73.54296875,0.0,2.3125,117.53125,2.875,24.0,29.0732421875,12.75,193.04
180.34,170.0,6.375,0.3512499999999999,1,6.25,27.0,170.0,0.0,139.375,15.363044738769531,64.05998992919922,36.125,0.0,7.430854797363281,48.625,5.125,117.5,55.375,1.75,182.88
160.02,125.0,0.0,0.45,0,22.0,26.0,115.0,0.0,214.0,37.5,47.0,136.0,0.0,6.5,29.0,0.0,195.0,102.0,0.0,165.1
180.34,170.0,0.0,0.12,1,3.0,37.0,170.0,0.0,72.0,50.0,623.0,131.0,0.0,8.0,640.0,0.0,27.0,44.0,30.0,185.42
172.72,145.0,2.125,0.5449999999999999,1,12.0,30.0,145.0,0.0,111.794921875,17.0234375,60.25,32.0,0.0,7.613372802734375,155.15625,2.0,60.1964111328125,78.0,2.625,172.72
