B_Height_cms,B_Weight_lbs,B_age,B_total_rounds_fought,R_Reach_cms,weight_class,B_longest_win_streak,R_age,R_Height_cms,R_Weight_lbs,R_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_avg_CTRL_time(seconds),B_avg_LEG_landed,B_current_win_streak,R_avg_DISTANCE_landed,B_Stance_Orthodox,R_avg_TD_pct,B_avg_SIG_STR_pct,R_avg_opp_BODY_att,B_Reach_cms
185.42,170.0,27.0,11.0,195.58,7,2.0,25.0,198.12,185.0,42.0,275.8466796875,183.0,4.375,2.0,47.5,True,0.5,0.5800000000000001,18.0,193.04
172.72,145.0,26.0,12.0,172.72,5,2.0,26.0,167.64,145.0,26.2734375,73.0,283.0,5.125,1.0,21.3466796875,True,0.03595703125,0.5762499999999999,5.037109375,172.72
175.26,170.0,30.0,17.0,177.8,6,2.0,33.0,180.34,170.0,104.125,29.796875,101.390625,0.546875,2.0,18.25,True,0.25,0.30203125,7.7141265869140625,182.88
185.42,205.0,34.0,24.0,187.96,8,4.0,30.0,187.96,205.0,65.7353515625,14.5819091796875,208.4112548828125,6.5054931640625,3.0,29.6328125,True,0.31494140625,0.507823486328125,6.240234375,193.04
172.72,170.0,26.0,1.0,182.88,6,0.0,30.0,175.26,155.0,113.5,0.0,20.0,0.0,0.0,14.0,True,0.375,0.2,12.5,182.88
170.18,135.0,27.0,3.0,172.72,3,0.0,30.0,167.64,135.0,250.5,178.0,2.0,11.0,0.0,34.5,True,0.35875,0.36,12.0,167.64
182.88,170.0,30.0,18.0,185.42,6,2.0,35.0,185.42,155.0,55.65895830903901,52.9384765625,76.3173828125,11.0,1.0,41.04351044568466,True,0.204181917735259,0.4505859375,13.856517162290402,193.04
170.18,155.0,30.0,9.0,180.34,5,2.0,32.0,167.64,155.0,107.28125,197.8125,72.0625,2.3125,2.0,18.21875,False,0.460625,0.5864794921875001,1.65625,172.72
180.34,145.0,26.0,14.0,167.64,4,3.0,26.0,167.64,155.0,253.4375,181.1875,113.90625,1.65625,3.0,37.875,True,0.4,0.41125,16.625,177.8
177.8,195.0,29.0,0.0,182.88,10,0.0,31.0,187.96,225.0,0.0,94.5,99.75,3.625,0.0,0.375,True,0.0,0.4499999999999999,0.0,182.88
190.5,205.0,32.0,14.0,193.04,8,4.0,35.0,187.96,205.0,34.265625,105.8125,27.09375,0.515625,3.0,13.90625,False,0.109375,0.47140625,14.8125,195.58
175.26,170.0,28.0,22.0,193.04,6,4.0,24.0,182.88,170.0,209.0,10.26953125,59.65625,3.83984375,0.0,47.5,True,0.4909375,0.44494140625,5.0625,180.34
167.64,145.0,29.0,5.0,175.26,4,1.0,32.0,172.72,145.0,323.796875,28.5,165.75,4.75,1.0,21.175537109375,True,0.41646240234375,0.5864794921875001,9.530517578125,172.72
177.8,155.0,25.0,18.0,180.34,5,3.0,26.0,175.26,155.0,26.59375,59.7265625,283.0,1.015625,0.0,4.359375,False,0.34375,0.4164843749999999,0.53125,180.34
172.72,155.0,29.0,1.0,182.88,5,0.0,25.0,177.8,170.0,104.125,0.0,0.0,0.0,0.0,18.25,True,0.25,0.0,7.7141265869140625,182.88
182.88,185.0,28.0,8.0,187.96,7,1.0,28.0,185.42,185.0,37.0,166.75,2.125,2.5,1.0,3.0,True,0.5,0.18875,2.0,185.42
165.1,135.0,26.0,4.0,175.26,3,1.0,30.0,172.72,135.0,268.0,275.8466796875,132.5,2.0,0.0,23.0,True,0.1,0.5864794921875001,14.0,177.8
177.8,170.0,27.0,20.0,193.04,6,2.0,31.0,180.34,170.0,142.5467529296875,43.140625,87.0078125,8.1640625,2.0,6.7479248046875,True,0.16259033203125,0.521796875,2.320556640625,180.34
175.26,155.0,24.0,2.0,172.72,5,0.0,31.0,172.72,155.0,57.064453125,0.0,70.0,5.0,0.0,47.5,True,0.0,0.36,17.998046875,180.34
177.8,155.0,34.0,0.0,177.8,5,0.0,25.0,170.18,155.0,323.796875,94.5,99.75,3.625,0.0,9.25,True,0.3425,0.4499999999999999,9.5,187.96
182.88,185.0,29.0,0.0,182.88,7,0.0,35.0,172.72,185.0,30.0,94.5,99.75,3.625,0.0,2.375,True,0.5,0.4499999999999999,1.5,182.88
170.18,135.0,30.0,6.0,180.34,3,1.0,35.0,170.18,135.0,16.25,275.8466796875,283.0,2.5,0.0,14.9375,False,0.0,0.48,6.4375,175.26
177.8,155.0,32.0,4.0,185.42,5,1.0,28.0,172.72,155.0,145.125,1.5,62.5,1.0,1.0,11.125,False,0.51625,0.475,11.25,182.88
160.02,125.0,30.0,9.0,175.26,3,1.0,28.0,170.18,135.0,147.0,200.75,223.25,6.75,1.0,33.75,False,0.640675048828125,0.5125,17.75,162.56
193.04,145.0,23.0,0.0,175.26,4,0.0,22.0,180.34,145.0,5.28125,94.5,99.75,3.625,0.0,47.5,False,0.0,0.4499999999999999,16.53125,182.88
170.18,145.0,34.0,15.0,177.8,4,2.0,35.0,172.72,145.0,46.94403839111328,235.5625,233.375,4.0859375,2.0,47.5,True,0.0175421142578125,0.5864794921875001,12.385215759277344,175.26
193.04,225.0,32.0,16.0,195.58,9,4.0,27.0,193.04,225.0,323.796875,230.890625,9.453125,0.8203125,3.0,10.203125,True,0.640675048828125,0.2957031249999999,4.1875,195.58
180.34,170.0,28.0,24.0,177.8,6,2.0,33.0,177.8,170.0,74.6875,275.8466796875,63.6435546875,5.1611328125,0.0,47.5,True,0.25,0.4716503906249999,18.9375,182.88
165.1,125.0,25.0,10.0,162.56,1,1.0,33.0,160.02,115.0,41.94140625,132.125,59.375,8.125,1.0,43.078125,True,0.03125,0.5825,18.9375,167.64
175.26,155.0,28.0,24.0,175.26,5,4.0,33.0,175.26,155.0,107.25,46.30836486816406,157.26841735839844,5.608306884765625,3.0,17.9375,False,0.149375,0.48391845703125,11.3125,182.88
175.26,185.0,29.0,1.0,182.88,10,0.0,27.0,182.88,210.0,0.0,0.0,0.0,2.0,0.0,0.0,False,0.0,0.5864794921875001,0.0,182.88
182.88,170.0,34.0,0.0,193.04,6,0.0,24.0,185.42,170.0,323.796875,94.5,99.75,3.625,0.0,5.625,False,0.640675048828125,0.4499999999999999,4.46875,193.04
185.42,170.0,34.0,0.0,182.88,6,0.0,31.0,180.34,170.0,172.15625,94.5,99.75,3.625,0.0,8.6875,False,0.16625,0.4499999999999999,6.34375,193.04
180.34,170.0,27.0,11.0,182.88,6,2.0,35.0,177.8,170.0,30.53379821777344,48.625,17.0,5.125,2.0,13.906402587890623,True,0.0899659729003906,0.3512499999999999,7.245780944824219,182.88
160.02,125.0,26.0,3.0,165.1,1,1.0,33.0,162.56,115.0,87.0,29.0,36.0,0.0,1.0,29.0,True,0.640675048828125,0.45,13.0,165.1
180.34,170.0,34.0,3.0,182.88,6,0.0,27.0,177.8,170.0,78.0,275.8466796875,2.0,0.0,0.0,9.0,True,0.0,0.12,18.9375,185.42
172.72,145.0,30.0,0.0,175.26,4,0.0,23.0,172.72,145.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,172.72
172.72,155.0,29.0,4.0,180.34,5,1.0,28.0,177.8,170.0,14.0,163.0,114.0,5.5,0.0,47.5,True,0.0,0.4599999999999999,18.0,175.26
165.1,125.0,28.0,6.0,165.1,2,0.0,28.0,162.56,125.0,174.25,84.0,205.5,11.0,0.0,32.0,True,0.08625,0.425,18.9375,162.56
185.42,185.0,30.0,1.0,182.88,7,0.0,29.0,185.42,170.0,104.125,73.0,40.0,1.0,0.0,18.25,True,0.25,0.42,7.7141265869140625,193.04
190.5,205.0,27.0,9.0,190.5,8,2.0,23.0,185.42,205.0,147.25,275.8466796875,93.25,4.125,2.0,34.5,True,0.425,0.565,8.75,193.04
165.1,170.0,29.0,2.0,182.88,5,0.0,24.0,167.64,170.0,0.0,0.0,0.0,1.0,0.0,6.5,True,0.640675048828125,0.38,10.0,182.88
172.72,155.0,29.0,0.0,175.26,5,0.0,26.0,172.72,155.0,104.125,94.5,99.75,3.625,0.0,18.25,True,0.25,0.4499999999999999,7.7141265869140625,182.88
182.88,185.0,30.0,15.0,187.96,7,1.0,32.0,182.88,185.0,271.5,174.203125,283.0,4.515625,1.0,33.0,True,0.5,0.5864794921875001,7.5,187.96
190.5,185.0,32.0,8.0,193.04,8,3.0,29.0,185.42,185.0,80.5,226.3125,141.0625,1.4375,3.0,14.25,True,0.4375,0.56625,0.75,190.5
180.34,145.0,27.0,0.0,190.5,5,0.0,32.0,172.72,155.0,323.796875,94.5,99.75,3.625,0.0,12.86767578125,True,0.2750537109375,0.4499999999999999,14.5732421875,180.34
175.26,145.0,30.0,0.0,185.42,4,0.0,30.0,177.8,145.0,47.58990859985352,94.5,99.75,3.625,0.0,47.5,False,0.0499566650390625,0.4499999999999999,16.380172729492188,177.8
190.5,170.0,28.0,3.0,177.8,6,2.0,27.0,177.8,170.0,104.125,32.0,7.5,5.5,2.0,18.25,True,0.25,0.4,7.7141265869140625,195.58
175.26,155.0,33.0,13.0,185.42,5,3.0,26.0,177.8,155.0,80.0625,73.375,274.1875,11.0,1.0,46.0625,True,0.3125,0.46375,10.875,180.34
162.56,125.0,28.0,0.0,182.88,2,0.0,33.0,175.26,125.0,1.0,94.5,99.75,3.625,0.0,12.0,True,0.0,0.4499999999999999,7.0,165.1
