B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_CLINCH_att,B_avg_opp_CLINCH_att,B_avg_opp_GROUND_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_opp_TD_landed,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms
73.0,69.0,97.0,61.0,5.0,6.5,0.0,99.0,23.5,560.5,162.56,160.02,63.7265625,2.875,41.25390625,118.86328125,202.0,218.99609375,865.8125,0.0,154.94,152.4
30.5,95.5,38.5,42.5,4.0,1.5,8.5,62.5,252.5,474.5,172.72,175.26,10.76171875,0.3984375,5.453125,14.421875,57.3203125,42.87109375,181.04296875,1.0,170.18,162.56
41.0,129.0,122.0,117.0,1.0,1.0,2.0,10.0,166.0,900.0,165.1,170.18,23.0,2.0,5.0,14.0,370.0,398.0,900.0,0.0,182.88,185.42
68.625,54.25,57.875,41.125,4.375,1.5,0.375,192.5,43.0,461.75,160.02,167.64,47.25,3.375,29.75,47.1875,65.4375,381.6875,900.0,0.0,167.64,165.1
53.625,72.484375,62.0,49.22119140625,10.0,7.25,11.149444580078123,196.46875,33.625,520.0,175.26,182.88,38.0,0.0,27.0,64.0,650.0,15.0,900.0,0.0,175.26,177.8
46.921875,99.125,78.57373046875,82.6875,0.75,5.25,2.0,56.70945739746094,337.0,900.0,177.8,177.8,9.0,0.0,13.0,22.0,0.0,3.0,141.0,0.0,175.26,182.88
124.5,96.5,66.0,55.5,37.0,14.0,1.0,410.5,221.5,900.0,182.88,185.42,36.0,1.0,42.5,63.0,26.0,141.5,581.5,0.0,182.88,185.42
78.0,128.5,51.0,47.5,23.0,20.5,17.5,337.5,317.5,900.0,177.8,177.8,24.125,1.0,16.0,23.3125,430.0,458.0,1053.765625,0.0,175.26,175.26
31.0,99.7734375,50.821044921875,69.5,0.5,0.0,11.0625,97.5,47.15625,551.0,182.88,193.04,36.171875,7.132080078125,9.5,88.0,85.287109375,444.0,900.0,0.0,187.96,190.5
99.25,116.75,59.125,47.875,9.0,5.875,3.0,183.0,320.125,861.5,185.42,193.04,95.0,2.0,94.0,177.0,42.0,213.0,900.0,0.0,198.12,195.58
87.125,96.0,51.375,46.75,17.875,19.125,2.125,562.125,73.0,900.0,172.72,172.72,16.015625,0.921875,21.3466796875,48.505859375,26.2734375,145.02734375,431.978515625,0.0,167.64,172.72
31.328125,140.828125,95.421875,119.625,2.46875,2.828125,3.0625,101.390625,29.796875,710.734375,175.26,182.88,24.625,1.0,19.59375,75.3671875,254.5,71.125,895.27734375,0.0,180.34,177.8
