weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_SIG_STR_att,R_avg_opp_SIG_STR_att,R_avg_TOTAL_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
1.0,126.0,67.5,139.5,69.0,53.0,10.0,8.0,61.0,0.0,162.56,115.0,109.4765625,140.75,137.140625,165.0,8.25390625,19.1591796875,95.36328125,118.86328125,0.0,154.94,152.4,115.0,0.0,160.02
4.0,53.5,52.5,62.5,95.5,48.0,2.0,2.0,42.5,1.0,172.72,145.0,24.15625,23.28125,30.5,29.30078125,4.4140625,3.6953125,12.5703125,14.421875,1.0,170.18,162.56,145.0,1.0,175.26
3.0,123.0,120.0,127.0,129.0,90.0,17.0,8.0,112.8337056040764,0.0,165.1,135.0,21.0,42.0,89.0,132.0,6.0,9.0,14.0,14.0,0.0,182.88,185.42,135.0,1.0,170.18
1.0,74.125,43.0,109.5,54.25,34.5,3.75,1.5,41.125,0.0,160.02,125.0,115.375,90.375,146.875,151.625,15.8125,13.875,80.1875,47.1875,0.0,167.64,165.1,115.0,0.0,167.64
5.0,85.4251708984375,41.0,92.0625,96.5,30.53125,11.0,9.3125,23.5,0.0,175.26,155.0,144.125,80.0,171.51318359375,139.0,18.0,11.0,90.0,64.0,0.0,175.26,177.8,155.0,1.0,187.96
4.0,90.0,52.0,128.0,46.0,33.875,5.0,4.21875,36.8125,0.0,177.8,145.0,51.0,24.0,51.0,25.0,1.0,0.0,51.0,22.0,0.0,175.26,187.96,145.0,1.0,177.8
6.0,113.5,70.5,167.0,96.5,51.0,10.5,7.5,55.5,0.0,182.88,170.0,99.5,85.5,108.5,89.5,14.0,7.0,85.5,63.0,1.0,182.88,185.42,170.0,1.0,185.42
6.0,81.5,85.5,124.5,128.5,70.0,13.5,13.0,47.5,0.0,177.8,155.0,103.34375,46.75,167.0,61.1875,2.0,5.5,26.0,28.6484375,0.0,175.26,175.26,155.0,1.0,177.8
7.0,46.75,47.0,52.5,58.375,23.0,6.125,0.0,40.5546875,0.0,182.88,185.0,80.5,75.5,96.44895553588869,85.0,12.9189453125,19.1591796875,64.9375,66.75,0.0,187.96,190.5,170.0,1.0,193.04
7.0,76.625,56.75,136.25,116.75,39.0,8.875,6.125,47.875,1.0,185.42,170.0,144.125,140.75,171.51318359375,165.0,19.0,18.0,124.875,122.688232421875,0.0,198.12,195.58,185.0,1.0,193.04
