weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_total_time_fought(seconds),B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
5.0,43.0625,44.875,16.0,59.25,37.875,62.3125,29.5625,32.4375,37.6875,4.375,2.9375,23.3125,22.3125,5.5625,407.4375,2.0,170.18,155.0,112.09375,1.0,167.64,180.34,155.0,1.0,172.72
4.0,53.3125,43.5,21.15625,86.21875,51.4375,79.5,52.96875,45.09375,30.53125,7.5,5.9375,30.15625,26.59375,8.96875,429.1875,1.0,180.34,145.0,153.625,0.0,167.64,167.64,155.0,1.0,177.8
8.0,39.265625,24.203125,12.0625,40.578125,17.296875,34.875,19.671875,32.1875,17.125,2.09375,1.234375,30.421875,16.953125,5.875,384.53125,4.0,190.5,205.0,171.0352783203125,1.0,187.96,193.04,205.0,1.0,195.58
6.0,48.59375,55.75390625,18.30859375,52.486328125,22.798828125,62.421875,24.064453125,41.5703125,42.357421875,3.73046875,2.265625,40.529296875,53.375,16.953125,437.75,4.0,175.26,170.0,90.09375,2.0,182.88,193.04,170.0,1.0,180.34
4.0,61.0,69.5,37.75,86.25,56.25,75.0,42.75,50.75,51.5,12.75,11.5,31.25,54.0,26.75,384.5,1.0,167.64,145.0,112.607421875,5.0,172.72,175.26,145.0,0.0,172.72
5.0,22.828125,34.9140625,17.84375,57.734375,39.2109375,47.0234375,29.7109375,20.921875,22.140625,7.0703125,6.5625,14.71875,20.8203125,7.0859375,675.0234375,0.0,177.8,155.0,8.671875,3.0,175.26,180.34,155.0,1.0,180.34
7.0,78.875,80.0,34.125,85.0,30.375,108.75,61.0,65.875,64.25,11.625,6.5,75.5,65.75,24.875,480.125,1.0,182.88,185.0,18.0,0.0,185.42,187.96,185.0,1.0,185.42
3.0,13.0,13.5,8.5,15.0,9.5,43.0,36.0,8.0,6.5,0.5,0.5,9.0,9.0,4.5,518.0,0.0,165.1,135.0,75.0,0.0,172.72,175.26,135.0,1.0,177.8
6.0,62.90625,73.1328125,34.46484375,64.06640625,32.48046875,76.2421875,37.57421875,43.11328125,52.75390625,11.45703125,7.7109375,52.48046875,66.51953125,28.58984375,556.2421875,4.0,177.8,170.0,28.5537109375,4.0,180.34,193.04,170.0,1.0,180.34
5.0,110.0,119.0,59.85095763206482,112.0,42.0,122.0,69.0,82.0,92.0,20.0,13.9281005859375,96.0,119.0,47.5,442.0,0.0,175.26,155.0,171.0352783203125,3.0,172.72,172.72,155.0,1.0,180.34
3.0,44.0,62.5,35.5,62.0,39.5,104.5,75.5,35.0,50.5,7.0,6.0,31.0,38.0,17.0,879.5,0.0,170.18,135.0,60.9375,2.0,170.18,180.34,135.0,1.0,175.26
5.0,24.75,41.25,12.5,31.0,17.75,41.5,12.75,22.75,24.5,6.25,3.0,21.5,41.25,12.5,257.75,1.0,177.8,155.0,76.125,1.0,172.72,185.42,155.0,1.0,182.88
3.0,109.0,84.25,38.0,126.25,70.5,124.75,77.5,84.25,61.25,14.75,11.25,84.0,68.5,26.5,900.0,0.0,160.02,125.0,101.25,1.0,170.18,175.26,135.0,1.0,162.56
4.0,70.8515625,36.2890625,17.7578125,145.171875,96.509765625,62.5546875,41.6171875,58.4140625,25.8984375,7.953125,4.65625,30.796875,26.4375,11.71875,649.953125,1.0,170.18,145.0,171.0352783203125,4.0,172.72,177.8,145.0,1.0,175.26
9.0,55.1640625,52.53125,28.0859375,59.4609375,16.46875,90.0703125,60.859375,49.484375,31.046875,11.875,7.7734375,50.5546875,40.6796875,18.8125,857.0078125,4.0,193.04,205.0,50.140625,2.0,193.04,195.58,205.0,1.0,195.58
6.0,121.2666015625,87.498046875,33.044921875,156.267578125,94.625,109.9326171875,52.330078125,102.97265625,72.9736328125,13.376953125,11.3515625,83.1689453125,63.4423828125,16.94921875,723.0419921875,0.0,180.34,170.0,167.28125,1.0,177.8,177.8,170.0,1.0,182.88
1.0,85.75,74.375,24.75,119.375,66.75,88.125,37.25,65.625,60.875,10.625,5.875,70.75,64.875,17.5,532.0,0.0,165.1,125.0,150.6796875,0.0,160.02,162.56,115.0,0.0,167.64
5.0,130.583740234375,89.40625,44.08497619628906,145.54029846191406,74.5587158203125,98.51280212402344,51.68818664550781,112.50379943847656,66.53204345703125,12.626190185546877,11.102645874023438,107.78575134277344,78.1810302734375,34.69526672363281,564.3668823242188,4.0,175.26,155.0,100.3125,1.0,175.26,175.26,155.0,1.0,182.88
6.0,133.125,100.875,32.375,139.375,55.375,105.0,36.125,117.5,67.75,20.05322265625,13.9281005859375,124.0,94.0,29.375,825.0,0.0,180.34,170.0,62.41909790039063,1.0,177.8,182.88,170.0,1.0,182.88
1.0,150.0,143.0,59.85095763206482,177.611328125,96.509765625,165.625,85.375,120.0,111.79295480251312,20.05322265625,13.9281005859375,131.0,126.5,47.5,900.0,0.0,160.02,125.0,108.0,0.0,162.56,165.1,115.0,0.0,165.1
5.0,52.0,32.5,15.0,61.0,27.0,69.0,48.5,40.0,20.5,4.5,3.5,40.5,28.5,12.0,600.0,0.0,172.72,155.0,117.0,0.0,177.8,180.34,170.0,1.0,175.26
2.0,138.0,143.0,59.85095763206482,177.611328125,96.509765625,165.625,85.375,88.0,89.0,20.05322265625,13.9281005859375,97.5,116.0,47.5,900.0,0.0,165.1,125.0,115.25,1.0,162.56,165.1,125.0,1.0,162.56
8.0,54.0,73.375,41.75,64.5,39.5,134.625,85.375,34.875,65.75,6.375,5.375,33.875,50.875,24.125,696.5,1.0,190.5,205.0,107.0,0.0,185.42,190.5,205.0,1.0,193.04
7.0,36.625,58.9375,24.75,88.796875,64.828125,97.015625,59.96875,22.609375,33.203125,14.5,11.21875,24.859375,38.15625,10.421875,751.921875,2.0,182.88,185.0,95.0,0.0,182.88,187.96,185.0,1.0,187.96
8.0,30.3125,24.9375,10.375,67.8125,50.1875,39.75,24.625,24.0,18.0,5.8125,2.6875,5.0625,7.6875,1.1875,441.6875,3.0,190.5,185.0,43.875,0.0,185.42,193.04,185.0,1.0,190.5
5.0,98.3125,70.8125,27.0,118.4375,59.4375,83.0,38.625,74.875,58.25,7.1875,5.0,70.875,64.9375,22.6875,824.0,1.0,175.26,155.0,126.375,1.0,177.8,185.42,155.0,1.0,180.34
2.0,50.48046875,99.08984375,33.56640625,103.140625,81.0546875,136.4140625,66.87890625,30.390625,71.41796875,11.00390625,6.23046875,36.90625,77.17578125,17.76953125,896.1953125,1.0,167.64,125.0,122.796875,1.0,165.1,167.64,125.0,0.0,167.64
7.0,77.84375,39.234375,13.4375,112.875,69.8125,50.328125,23.59375,58.171875,31.453125,4.640625,3.625,50.109375,29.796875,8.453125,539.578125,2.0,185.42,205.0,83.78125,0.0,185.42,185.42,205.0,1.0,187.96
4.0,129.6875,112.3125,48.375,143.125,96.509765625,120.125,55.375,105.0,96.9375,14.0625,8.625,76.375,97.25,38.4375,794.625,2.0,167.64,145.0,43.37255859375,5.0,167.64,167.64,145.0,1.0,180.34
0.0,52.0,35.0,17.0,68.0,46.0,40.0,22.0,27.0,23.0,11.0,8.0,23.0,14.0,2.0,900.0,0.0,170.18,140.0,26.0,0.0,177.8,180.34,145.0,1.0,172.72
3.0,86.0,54.0,17.0,130.0,83.0,55.0,18.0,81.0,45.0,4.0,1.0,46.0,47.0,12.0,599.0,0.0,170.18,135.0,96.875,0.0,162.56,180.34,135.0,1.0,177.8
5.0,116.0,143.0,51.0,116.0,20.0,165.625,74.0,84.0,111.79295480251312,7.0,6.0,115.0,126.5,42.0,772.0,0.0,170.18,155.0,111.25,1.0,167.64,172.72,145.0,1.0,177.8
6.0,57.125,35.25,13.75,78.8125,56.0,66.375,41.75,45.375,28.5,2.125,1.375,27.4375,28.125,9.5,529.875,3.0,182.88,170.0,95.78125,0.0,182.88,187.96,170.0,1.0,190.5
6.0,48.2421875,42.4921875,24.5859375,57.890625,27.4765625,47.953125,28.546875,35.5703125,36.9296875,3.3203125,3.0,37.1640625,33.9609375,19.0390625,262.484375,3.0,182.88,170.0,127.0,1.0,180.34,190.5,170.0,1.0,193.04
9.0,93.5,22.5,7.0,94.0,28.0,23.0,7.5,88.0,22.5,0.0,0.0,87.0,22.5,7.0,381.0,1.0,190.5,205.0,58.25,0.0,195.58,195.58,205.0,1.0,195.58
4.0,58.0,31.0,15.0,129.0,96.509765625,74.0,50.0,28.0,22.0,3.0,2.0,28.0,16.0,1.0,900.0,0.0,167.64,135.0,141.0,0.0,167.64,167.64,145.0,1.0,170.18
3.0,98.25,109.3125,43.625,138.3125,86.8125,148.625,76.625,60.9375,62.9375,20.05322265625,11.8125,74.0625,93.5,33.25,930.25,2.0,175.26,135.0,171.0352783203125,0.0,170.18,170.18,135.0,0.0,180.34
7.0,53.5,82.0,33.0,61.0,30.0,88.5,39.0,40.5,72.0,6.5,4.5,52.0,66.5,23.5,520.0,0.0,175.26,185.0,37.5,0.0,185.42,195.58,185.0,1.0,185.42
3.0,150.0,125.0,46.5,177.611328125,96.509765625,161.0,77.0,120.0,104.0,14.5,10.0,120.5,114.5,42.0,900.0,0.0,167.64,145.0,121.3203125,0.0,172.72,172.72,135.0,1.0,162.56
5.0,9.0,29.0,15.0,10.0,6.0,64.0,50.0,6.0,14.0,10.0,5.0,7.0,21.0,9.0,242.0,0.0,182.88,155.0,87.625,0.0,187.96,185.42,155.0,1.0,185.42
6.0,15.828125,25.21875,15.3125,19.046875,11.1875,38.453125,27.484375,10.53125,17.578125,5.078125,2.65625,10.609375,9.90625,3.703125,319.734375,0.0,180.34,170.0,55.94677734375,3.0,182.88,187.96,170.0,1.0,190.5
4.0,80.96832227706909,79.41253280639648,41.0482816696167,88.77140855789185,48.69337487220764,92.41377639770508,53.01404619216919,61.3988995552063,59.49166989326477,16.514463186264038,10.985095500946043,62.43014979362488,61.669612407684326,27.447201251983643,582.3476409912109,3.0,172.72,145.0,110.625,0.0,172.72,177.8,145.0,1.0,172.72
5.0,92.40625,56.875,21.53125,97.96875,40.0,66.96875,30.53125,70.3125,43.65625,7.25,4.0625,74.0,48.21875,17.6875,627.03125,2.0,172.72,155.0,44.5625,2.0,177.8,180.34,170.0,1.0,182.88
