weight_class,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_avg_opp_BODY_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender
7.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.817944146267096,5.707110264748875,4.493695640076776,2.164945454433214,0.0,5.817944146267096,5.8027224225111045,5.707110264748875,1.0
5.0,4.510344263912064,4.957311430726282,4.5313386179389274,3.5286556828419573,4.433324811862011,1.6015947349730746,1.121779347949644,4.496418510174195,3.4620670714861883,1.3862943611198906,5.8027224225111045,5.602118820879701,4.872091359648189,2.922825502745903,0.0,5.810362246718757,5.832937638879745,5.655991810819852,1.0
6.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.817944146267096,5.655991810819852,4.493695640076776,2.164945454433214,0.0,5.825468992912801,5.817944146267096,5.655991810819852,1.0
6.0,3.6435306273695063,3.960813169597578,3.971175956633125,3.390199627452614,3.393616636954243,2.0355223077450004,1.6961888388427553,3.228207152297085,1.995975010656746,1.6094379124341003,5.795023781753144,5.707110264748875,4.8397761279525895,2.2570514347661,1.9459101490553132,5.8027224225111045,5.825468992912801,5.655991810819852,1.0
3.0,4.5464791184548705,4.636382088642329,4.843083038491549,4.281648397116684,4.346158449809152,2.435209702544724,2.3259429737626585,4.259438907838489,3.315915686886667,0.0,5.763622475012218,5.5254529391317835,5.13460286970318,3.2219959522044443,1.3862943611198906,5.74754414409507,5.771565725958661,5.5254529391317835,1.0
6.0,4.30406509320417,4.477336814478207,4.663439094112067,4.290459441148391,3.9318256327243257,2.8903717578961645,2.8903717578961645,3.5553480614894135,2.3978952727983707,0.0,5.8027224225111045,5.655991810819852,5.350857929647475,3.1499945542964927,0.6931471805599453,5.8027224225111045,5.84035091743822,5.655991810819852,1.0
5.0,4.1588830833596715,4.653960350157523,4.276666119016055,3.2188758248682006,3.828641396489095,2.5649493574615367,1.3862943611198906,4.0943445622221,2.772588722239781,0.0,5.78726541179471,5.564520407322694,4.3331974072414905,2.772588722239781,0.6931471805599453,5.810362246718757,5.847709643462844,5.602118820879701,1.0
6.0,4.406719247264253,4.848116364598481,4.54063166485052,3.6951100038645723,4.2520603082138555,2.1400661634962708,1.55814461804655,4.241326752570746,3.1986731175506815,0.6931471805599453,5.810362246718757,5.655991810819852,4.557816489604621,2.063693184711697,0.0,5.817944146267096,5.825468992912801,5.655991810819852,1.0
2.0,4.204692619390966,4.454347296253507,4.370238678921839,3.6210020317108507,4.058285512406398,1.55814461804655,1.3862943611198906,4.066887715989061,3.0881975012260847,0.0,5.763622475012218,5.484796933490655,4.795851074498302,2.590352611014,0.0,5.755615623296219,5.763622475012218,5.484796933490655,1.0
8.0,2.5257286443082556,3.2771447329921766,2.5257286443082556,1.791759469228055,2.4849066497880004,0.0,0.0,2.0149030205422647,0.6931471805599453,0.0,5.795023781753144,5.707110264748875,4.493695640076776,2.164945454433214,0.0,5.825468992912801,5.825468992912801,5.771441123130016,1.0
7.0,2.9311937524164198,4.882801922586371,4.029806041084529,3.8394523125933104,2.740840023925201,1.252762968495368,1.0116009116784799,2.505525936990736,1.6582280766035324,0.0,5.8027224225111045,5.655991810819852,4.375757021660286,1.3217558399823195,0.6931471805599453,5.795023781753144,5.817944146267096,5.655991810819852,1.0
6.0,4.060443010546419,4.77912349311153,4.343805421853684,3.2188758248682006,3.8066624897703196,1.6094379124341003,0.6931471805599453,3.9889840465642745,1.6094379124341003,0.0,5.832937638879745,5.655991810819852,3.78205667896812,1.640209571100854,0.0,5.810362246718757,5.84035091743822,5.655991810819852,1.0
6.0,4.099280278177947,4.515142902083354,4.1521465767770405,3.3954517403660756,3.787557535710226,2.3057052203302892,1.629546865356814,3.948234387390718,3.058193443177727,0.6931471805599453,5.8027224225111045,5.655991810819852,4.0163830207523885,0.6931471805599453,0.6931471805599453,5.825468992912801,5.847709643462844,5.655991810819852,1.0
7.0,4.174387269895637,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.8669602607912315,2.8606371589532857,0.0,5.78726541179471,5.655991810819852,2.9575110607337933,1.2878542883066382,1.0986122886681098,5.810362246718757,5.825468992912801,5.707110264748875,1.0
6.0,2.302585092994046,2.0794415416798357,2.302585092994046,1.0986122886681098,2.1972245773362196,0.0,0.0,2.302585092994046,1.0986122886681098,0.6931471805599453,5.832937638879745,5.771441123130016,4.553876891600541,1.927891643552635,0.0,5.795023781753144,5.817944146267096,5.602118820879701,1.0
6.0,3.4011973816621555,3.367295829986474,3.9889840465642745,3.713572066704308,3.1354942159291497,1.9459101490553132,1.3862943611198906,2.302585092994046,1.0986122886681098,0.0,5.832937638879745,5.655991810819852,3.8750515783649306,1.2874109205671542,1.791759469228055,5.8027224225111045,5.817944146267096,5.655991810819852,1.0
8.0,3.8394523125933104,3.7612001156935624,3.8607297110405954,3.2188758248682006,3.5553480614894135,1.6094379124341003,1.0986122886681098,3.7376696182833684,3.0204248861443626,0.6931471805599453,5.825468992912801,5.771441123130016,3.5024013214964613,0.7878801341421733,1.3862943611198906,5.832937638879745,5.832937638879745,5.771441123130016,1.0
