B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_HEAD_att,B_avg_DISTANCE_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_HEAD_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_Height_cms,R_Reach_cms
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,193.04,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,187.96,190.5
87.625,116.75,64.5,59.125,183.0,275.8466796875,861.5,11.0,185.42,193.04,57.5,114.0,47.5,122.1015625,0.0,42.0,213.0,900.0,198.12,195.58
87.125,96.0,58.25,51.375,283.0,73.0,900.0,12.0,172.72,172.72,16.015625,51.32421875,21.3466796875,48.505859375,1.103515625,26.2734375,145.02734375,431.978515625,167.64,172.72
31.328125,140.828125,93.234375,95.421875,101.390625,29.796875,710.734375,17.0,175.26,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,180.34,177.8
87.625,101.99755859375,95.2626953125,62.6553955078125,208.4112548828125,14.5819091796875,785.1458740234375,24.0,185.42,193.04,27.865234375,57.4443359375,29.6328125,79.61328125,0.25390625,65.7353515625,114.3154296875,513.0224609375,187.96,187.96
7.0,4.0,19.0,18.0,20.0,0.0,44.0,1.0,172.72,182.88,42.0,51.0,14.0,56.5,4.0,113.5,173.5,669.0,175.26,182.88
66.0,152.9375,106.25,115.609375,2.0,178.0,900.0,3.0,170.18,167.64,47.5,60.75,34.5,67.125,10.9375,250.5,133.375,679.625,167.64,172.72
84.4345703125,138.369140625,106.25,115.609375,76.3173828125,52.9384765625,524.685546875,18.0,182.88,193.04,51.87809825828299,83.17817583918804,41.04351044568466,85.17653621709906,4.511398680566344,55.65895830903901,4.790911136195064,594.3883661901345,185.42,185.42
37.875,62.3125,32.4375,23.3125,72.0625,197.8125,407.4375,9.0,170.18,172.72,21.03125,52.75,18.21875,43.34375,10.8125,107.28125,276.0,778.6875,167.64,180.34
51.4375,79.5,45.09375,30.15625,113.90625,181.1875,429.1875,14.0,180.34,177.8,57.5,114.0,37.875,121.6875,1.625,253.4375,43.4375,784.8125,167.64,167.64
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,177.8,182.88,2.625,4.5,0.375,1.25,1.5,0.0,0.0,61.625,187.96,182.88
17.296875,34.875,32.1875,30.421875,27.09375,105.8125,384.53125,14.0,190.5,195.58,57.5,70.984375,13.90625,107.5,10.9375,34.265625,276.0,896.015625,187.96,193.04
22.798828125,62.421875,41.5703125,40.529296875,59.65625,10.26953125,437.75,22.0,175.26,180.34,17.9375,101.3125,47.5,54.1875,1.0,209.0,56.90625,681.75,182.88,193.04
56.25,75.0,50.75,31.25,165.75,28.5,384.5,5.0,167.64,172.72,29.642578125,103.375732421875,21.175537109375,42.537353515625,4.73046875,323.796875,58.34033203125,900.0,172.72,175.26
39.2109375,47.0234375,20.921875,14.71875,283.0,59.7265625,675.0234375,18.0,177.8,180.34,2.4375,16.921875,4.359375,4.1875,0.296875,26.59375,39.34375,128.453125,175.26,180.34
0.0,6.0,0.0,3.0,0.0,0.0,81.0,1.0,172.72,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,177.8,182.88
30.375,108.75,65.875,75.5,2.125,166.75,480.125,8.0,182.88,185.42,5.5,11.0,3.0,9.5,2.0,37.0,147.0,253.0,185.42,187.96
9.5,43.0,8.0,9.0,132.5,275.8466796875,518.0,4.0,165.1,177.8,19.0,48.5,23.0,41.0,2.0,268.0,157.0,665.0,172.72,175.26
32.48046875,76.2421875,43.11328125,52.48046875,87.0078125,43.140625,556.2421875,20.0,177.8,180.34,12.733154296875,33.43212890625,6.7479248046875,10.8387451171875,6.145751953125,142.5467529296875,178.2965087890625,422.8668212890625,180.34,193.04
42.0,122.0,82.0,96.0,70.0,0.0,442.0,2.0,175.26,180.34,57.5,85.1943359375,47.5,122.1015625,1.53125,57.064453125,12.43798828125,809.58154296875,172.72,172.72
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,177.8,187.96,36.5,62.0,9.25,60.75,9.5,323.796875,73.0,820.5,170.18,177.8
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,182.88,5.0625,13.1875,2.375,6.875,1.875,30.0,187.1875,298.9375,172.72,182.88
39.5,104.5,35.0,31.0,283.0,275.8466796875,879.5,6.0,170.18,175.26,17.25,34.5625,14.9375,41.5625,3.6875,16.25,70.6875,459.625,170.18,180.34
17.75,41.5,22.75,21.5,62.5,1.5,257.75,4.0,177.8,182.88,23.0,57.375,11.125,50.5,1.75,145.125,108.25,748.875,172.72,185.42
70.5,124.75,84.25,84.0,223.25,200.75,900.0,9.0,160.02,162.56,38.5,86.25,33.75,64.75,0.25,147.0,127.25,735.0,170.18,175.26
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,193.04,182.88,57.5,114.0,47.5,122.1015625,8.5625,5.28125,263.46875,858.78125,180.34,175.26
87.625,62.5546875,58.4140625,30.796875,233.375,235.5625,649.953125,15.0,170.18,175.26,57.5,114.0,47.5,122.1015625,1.4531631469726562,46.94403839111328,20.29485321044922,816.6355133056641,172.72,177.8
16.46875,90.0703125,49.484375,50.5546875,9.453125,230.890625,857.0078125,16.0,193.04,195.58,15.359375,70.421875,10.203125,28.296875,0.78125,323.796875,5.390625,746.3125,193.04,195.58
87.625,109.9326171875,102.97265625,83.1689453125,63.6435546875,275.8466796875,723.0419921875,24.0,180.34,182.88,57.5,114.0,47.5,122.1015625,2.46875,74.6875,103.71875,718.25,177.8,177.8
66.75,88.125,65.625,70.75,59.375,132.125,532.0,10.0,165.1,167.64,57.5,90.41796875,43.078125,116.58203125,3.28125,41.94140625,133.13671875,691.46875,160.02,162.56
74.5587158203125,98.51280212402344,106.25,107.78575134277344,157.26841735839844,46.30836486816406,564.3668823242188,24.0,175.26,182.88,33.8125,47.75,17.9375,71.0625,2.875,107.25,39.3125,524.25,175.26,175.26
12.0,0.0,4.0,3.0,0.0,0.0,105.0,1.0,175.26,182.88,5.5,0.0,0.0,1.0,5.5,0.0,0.0,202.0,182.88,182.88
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,193.04,17.5625,60.9375,5.625,22.46875,5.46875,323.796875,75.9375,673.625,185.42,193.04
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,185.42,193.04,20.375,28.90625,8.6875,25.75,5.125,172.15625,84.375,419.625,180.34,182.88
