weight_class,B_Height_cms,B_Weight_lbs,R_Height_cms,R_Weight_lbs,B_Reach_cms
5.0,5.8027224225111045,5.602118820879701,5.817944146267096,5.655991810819852,5.8027224225111045
6.0,5.795023781753144,5.707110264748875,5.810362246718757,5.655991810819852,5.795023781753144
3.0,5.763622475012218,5.5254529391317835,5.755615623296219,5.5254529391317835,5.779446378577191
5.0,5.78726541179471,5.564520407322694,5.817944146267096,5.602118820879701,5.771565725958661
6.0,5.810362246718757,5.655991810819852,5.825468992912801,5.655991810819852,5.84035091743822
2.0,5.763622475012218,5.484796933490655,5.763622475012218,5.484796933490655,5.779446378577191
6.0,5.832937638879745,5.655991810819852,5.817944146267096,5.655991810819852,5.847709643462844
6.0,5.8027224225111045,5.655991810819852,5.832937638879745,5.655991810819852,5.8027224225111045
6.0,5.832937638879745,5.771441123130016,5.8027224225111045,5.602118820879701,5.8622666086363004
6.0,5.832937638879745,5.655991810819852,5.810362246718757,5.655991810819852,5.847709643462844
8.0,5.825468992912801,5.771441123130016,5.84035091743822,5.771441123130016,5.832937638879745
3.0,5.78726541179471,5.5254529391317835,5.779446378577191,5.5254529391317835,5.8027224225111045
1.0,5.755615623296219,5.484796933490655,5.779446378577191,5.442417710521793,5.755615623296219
4.0,5.8027224225111045,5.602118820879701,5.795023781753144,5.564520407322694,5.832937638879745
8.0,5.810362246718757,5.771441123130016,5.847709643462844,5.771441123130016,5.847709643462844
1.0,5.755615623296219,5.442417710521793,5.73940698562913,5.442417710521793,5.74754414409507
4.0,5.78726541179471,5.564520407322694,5.78726541179471,5.564520407322694,5.795023781753144
3.0,5.763622475012218,5.5254529391317835,5.825468992912801,5.5254529391317835,5.779446378577191
1.0,5.74754414409507,5.484796933490655,5.779446378577191,5.442417710521793,5.771565725958661
6.0,5.817944146267096,5.655991810819852,5.825468992912801,5.655991810819852,5.825468992912801
7.0,5.825468992912801,5.655991810819852,5.8694663902971325,5.707110264748875,5.847709643462844
5.0,5.78726541179471,5.564520407322694,5.779446378577191,5.564520407322694,5.78726541179471
8.0,5.825468992912801,5.771441123130016,5.84035091743822,5.771441123130016,5.847709643462844
6.0,5.817944146267096,5.655991810819852,5.832937638879745,5.602118820879701,5.847709643462844
5.0,5.779446378577191,5.602118820879701,5.779446378577191,5.602118820879701,5.78726541179471
4.0,5.810362246718757,5.564520407322694,5.779446378577191,5.602118820879701,5.8027224225111045
8.0,5.84035091743822,5.771441123130016,5.84035091743822,5.771441123130016,5.8766147054290405
6.0,5.795023781753144,5.655991810819852,5.825468992912801,5.655991810819852,5.810362246718757
4.0,5.771565725958661,5.564520407322694,5.795023781753144,5.564520407322694,5.78726541179471
5.0,5.8027224225111045,5.602118820879701,5.8027224225111045,5.602118820879701,5.810362246718757
7.0,5.817944146267096,5.707110264748875,5.832937638879745,5.707110264748875,5.825468992912801
3.0,5.763622475012218,5.5254529391317835,5.795023781753144,5.5254529391317835,5.8027224225111045
6.0,5.8027224225111045,5.655991810819852,5.817944146267096,5.655991810819852,5.810362246718757
5.0,5.795023781753144,5.602118820879701,5.795023781753144,5.602118820879701,5.810362246718757
3.0,5.779446378577191,5.5254529391317835,5.78726541179471,5.5254529391317835,5.795023781753144
5.0,5.8027224225111045,5.602118820879701,5.795023781753144,5.602118820879701,5.817944146267096
3.0,5.74754414409507,5.484796933490655,5.78726541179471,5.5254529391317835,5.755615623296219
4.0,5.779446378577191,5.564520407322694,5.795023781753144,5.564520407322694,5.795023781753144
9.0,5.847709643462844,5.902633333401366,5.855014613970084,5.942799375126701,5.897758080667674
