B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_pct,R_age,B_avg_CTRL_time(seconds),B_avg_opp_SIG_STR_pct,B_avg_HEAD_att,B_avg_opp_LEG_att,B_age,B_avg_DISTANCE_att,R_losses,R_avg_opp_HEAD_landed,R_avg_opp_LEG_att,R_avg_LEG_att,B_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_BODY_landed,R_avg_SUB_ATT,R_avg_opp_DISTANCE_att,R_avg_BODY_landed,R_avg_opp_CTRL_time(seconds),Winner
13.1875,0.37,25.0,196.494140625,0.43,77.50149536132812,14.1796875,23.0,53.0,1.0,9.0,0.0,13.0,18.875,0.0,0.0,0.0,22.0,1.0,3.0,Blue
28.5,0.41,33.0,329.8321228027344,0.315,81.5,9.0,26.0,66.0,1.0,31.5,0.5,9.5,10.5,1.0,4.0,0.0,63.0,9.5,141.5,Red
18.5,0.3,28.0,329.8321228027344,0.59,61.0,2.0,28.0,51.0,0.0,22.3125,13.5625,15.9783935546875,7.5,3.75,3.73828125,0.0,28.6484375,2.0,203.8359375,Red
13.75,0.58,25.0,240.125,0.4425,38.16015625,12.5,30.0,14.1640625,0.0,30.5625,4.514556407928467,9.5,2.125,10.0,13.15216064453125,0.75,66.75,3.0,43.0,Blue
29.875,0.44,25.0,183.0,0.51625,64.5,8.875,27.0,59.125,0.0,37.7607421875,14.67218017578125,10.0,8.5,2.0,11.0,1.0,122.688232421875,13.0,213.0,Red
19.5,0.310849609375,26.0,329.8321228027344,0.44375,58.25,3.5,26.0,51.375,4.0,10.00390625,2.646484375,12.0048828125,13.5,2.5693359375,4.1474609375,0.2626953125,48.505859375,2.841796875,145.02734375,Blue
22.21875,0.3760834997892379,33.0,101.390625,0.32859375,93.234375,6.28125,30.0,95.421875,0.0,20.125,5.0,6.150390625,3.171875,2.3701171875,4.0,1.0,64.71875,12.25,12.875,Blue
22.7193603515625,0.33298828125,30.0,208.4112548828125,0.365396728515625,95.2626953125,4.4908447265625,35.0,62.6553955078125,5.0,19.5810546875,6.072265625,15.9783935546875,18.875,4.947265625,3.1650390625,0.3173828125,79.61328125,6.61328125,114.3154296875,Red
4.0,0.485,30.0,20.0,0.5,19.0,0.0,26.0,18.0,2.0,26.0,5.5,8.5,2.0,2.5,10.5,0.0,56.5,7.0,173.5,Red
45.5,0.53125,30.0,2.0,0.4,109.0,14.1796875,27.0,117.5,2.0,35.5,2.0,15.9783935546875,2.0,1.5,10.25,0.125,67.125,13.875,133.375,Red
45.5,0.58,35.0,76.3173828125,0.553095703125,109.0,14.1796875,30.0,117.5,5.0,36.26956543006236,9.4269411402056,9.011733276071029,7.1328125,0.4173380907159298,7.830957587051671,0.0079214873840101,85.17653621709906,11.441355598857626,4.790911136195064,Draw
9.1875,0.2690625,32.0,72.0625,0.3775,32.4375,2.8125,30.0,23.3125,2.0,11.5625,9.625,4.78125,6.0625,2.25,1.21875,1.25,43.34375,4.34375,298.80078125,Red
10.4375,0.400625,26.0,113.90625,0.59,45.09375,5.46875,26.0,30.15625,1.0,37.7607421875,5.9375,12.8125,10.625,14.0,9.75,0.8125,121.6875,9.5,43.4375,Red
16.5,0.58,31.0,76.875,0.46375,51.1875,13.0,29.0,49.75,1.0,1.75,1.125,0.75,4.0,3.0,0.0,0.25,1.25,1.125,0.0,Red
9.921875,0.40171875,35.0,27.09375,0.565,32.1875,4.984375,32.0,30.421875,2.0,37.7607421875,7.8125,0.03125,6.796875,3.1875,12.015625,0.09375,107.5,7.25,298.80078125,Red
15.423828125,0.2678125,24.0,59.65625,0.420859375,41.5703125,9.666015625,28.0,40.529296875,1.0,12.65625,3.34375,8.71875,5.763671875,14.0,2.78125,0.3125,54.1875,13.875,56.90625,Red
12.5,0.53646728515625,32.0,165.75,0.495,50.75,5.25,29.0,31.25,1.0,14.588623046875,9.0107421875,14.091796875,18.875,14.0,6.6953125,1.017578125,42.537353515625,5.974365234375,58.34033203125,Red
3.34375,0.28984375,26.0,329.8321228027344,0.420859375,20.921875,5.703125,25.0,14.71875,3.0,0.953125,1.171875,0.25,5.546875,3.84375,0.4375,0.015625,4.1875,0.34375,39.34375,Red
0.0,0.48651804625988,25.0,0.0,0.59,0.0,0.0,29.0,3.0,0.0,37.7607421875,3.0,15.9783935546875,0.0,0.90234375,13.15216064453125,0.03125,122.688232421875,5.0,241.675048828125,Red
23.375,0.565,28.0,2.125,0.40875,65.875,4.125,28.0,75.5,1.0,3.5,4.0,0.5,2.125,2.0,0.5,1.0,9.5,2.5,147.0,Red
4.5,0.32,30.0,132.5,0.34,8.0,6.5,26.0,9.0,1.0,8.0,2.5,10.0,3.5,11.5,8.5,0.0,41.0,12.5,157.0,Blue
22.24609375,0.58,31.0,87.0078125,0.568984375,43.11328125,8.921875,27.0,52.48046875,5.0,9.5455322265625,1.2420654296875,1.9647216796875,1.46484375,14.0,2.0125732421875,0.1763916015625,10.8387451171875,5.1151123046875,178.2965087890625,Blue
34.0,0.322890625,31.0,70.0,0.55,82.0,7.0,24.0,96.0,5.0,35.41064453125,14.67218017578125,15.9783935546875,8.0,2.07861328125,9.0751953125,0.0,122.688232421875,13.875,12.43798828125,Blue
18.0625,0.4474999999999999,25.0,35.0,0.534619140625,72.6875,3.75,34.0,80.0,2.0,24.5,2.5,2.0,1.0,14.0,9.5,1.25,60.75,6.75,73.0,Red
8.0,0.58,35.0,148.42578125,0.48,59.0,3.0,23.0,23.875,3.0,2.25,2.0625,0.125,18.875,0.5625,1.5,1.1875,6.875,0.6875,187.1875,Red
14.0,0.375,35.0,329.8321228027344,0.575,35.0,5.0,30.0,31.0,2.0,10.1875,4.875,13.0625,11.0,5.0,3.875,0.0625,41.5625,0.8125,70.6875,Blue
10.25,0.3125,28.0,62.5,0.3075,22.75,10.5,32.0,21.5,1.0,8.625,10.625,2.875,2.0,2.625,8.125,0.25,50.5,3.875,108.25,Blue
