B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_landed,R_avg_opp_HEAD_landed,R_losses,R_age,Winner
14.71875,49.0,29.25,3.0,25.0,Red
18.922045528888702,57.769317626953125,28.015625,3.0,31.0,Red
26.0,24.875,21.5,0.0,28.0,Red
27.25,57.769317626953125,37.7607421875,4.0,35.0,Red
45.5,56.0,33.0,0.0,26.0,Red
33.0,29.0,15.75,2.0,26.0,Red
6.6875,4.0,2.0,1.0,23.0,Red
45.5,42.78125,35.515625,1.0,28.0,Red
36.5,35.052001953125,26.5,0.0,25.0,Red
23.5,31.17548561096192,20.0,0.0,32.0,Red
23.75,14.75,7.5,0.0,26.0,Red
7.0,25.03125,19.875,0.0,28.0,Red
32.0,20.25,15.125,1.0,24.0,Blue
1.0,17.625,15.5,1.0,20.0,Red
0.0,10.5,4.75,0.0,25.0,Red
24.78125,35.15625,19.5625,3.0,35.0,Red
6.5,23.5,16.75,0.0,24.0,Red
20.5,44.5625,27.1640625,4.0,32.0,Red
35.0,57.5,37.5,1.0,31.0,Blue
4.22265625,51.85952758789063,33.45758056640625,5.0,35.0,Red
33.5,2.0,2.0,1.0,26.0,Red
8.0,25.75,13.28125,2.0,30.0,Red
0.0,18.21875,16.59375,2.0,28.0,Red
1.9375,32.90625,15.0,0.0,30.0,Red
6.89453125,10.454338073730469,4.345905780792236,5.0,35.0,Blue
24.5,56.3358154296875,37.7607421875,5.0,35.0,Blue
9.0,21.2314453125,10.2900390625,4.0,26.0,Red
45.5,53.0,35.125,2.0,28.0,Blue
4.273681640625,22.0745849609375,14.4898681640625,2.0,35.0,Red
8.5,57.0,37.7607421875,1.0,25.0,Blue
20.0,13.5,4.5,0.0,25.0,Red
45.5,35.375,31.25,3.0,31.0,Red
15.40625,48.375,31.0625,3.0,33.0,Blue
23.75,20.14130401611328,16.762611389160156,5.0,35.0,Blue
22.25,6.0,4.5,1.0,31.0,Blue
15.227951049804688,32.6484375,21.703125,5.0,34.0,Blue
29.96875,40.5947265625,17.11669921875,2.0,35.0,Red
2.375,20.0,9.75,0.0,31.0,Red
25.0,21.3507080078125,17.9822998046875,4.0,31.0,Red
10.4296875,18.25,14.0,0.0,31.0,Red
45.5,26.171875,15.390625,2.0,30.0,Red
12.0,13.6875,3.5,0.0,32.0,Red
21.5,57.769317626953125,37.7607421875,2.0,22.0,Blue
0.0,0.0,0.0,0.0,30.0,Red
36.040435791015625,16.8515625,12.5078125,5.0,35.0,Blue
30.625,42.0,17.0,0.0,28.0,Blue
14.4375,23.453125,18.953125,1.0,30.0,Red
12.178955078125,37.7900390625,22.482421875,3.0,35.0,Red
26.75,57.769317626953125,37.7607421875,5.0,34.0,Blue
18.9375,51.0,36.5,2.0,25.0,Red
8.25,33.65625,18.3046875,4.0,34.0,Blue
5.0,27.0,12.0,1.0,24.0,Blue
18.0,57.769317626953125,37.7607421875,2.0,35.0,Blue
16.0,13.25,4.4375,0.0,35.0,Red
15.0,41.46875,16.125,0.0,29.0,Red
