R_avg_opp_DISTANCE_landed,R_age,R_avg_opp_SIG_STR_pct,B_avg_DISTANCE_landed,R_avg_opp_CLINCH_att,B_avg_opp_LEG_landed,B_avg_BODY_landed,B_avg_opp_BODY_landed,B_avg_GROUND_att,R_avg_opp_HEAD_landed,B_avg_opp_CTRL_time(seconds),R_avg_GROUND_landed,R_avg_opp_BODY_att,R_avg_CLINCH_att,R_avg_HEAD_landed,B_avg_CLINCH_att,B_age,R_avg_TD_landed,B_avg_BODY_att,R_avg_TOTAL_STR_landed,Winner
9.0,25.0,0.37,23.0,2.0,3.34375,3.0,2.0,4.0,9.0,610.0,0.0,0.0,0.0,4.0,6.25,23.0,0.0,4.0,13.0,Blue
23.0,33.0,0.41,28.5,12.5,7.0,12.5,7.5,10.5,31.5,221.5,1.0,7.0,13.0,34.5,37.0,26.0,0.0,18.0,61.0,Red
30.0,28.0,0.4,18.5,3.25,2.0,13.5,13.5,7.5,20.70916748046875,317.5,3.0,10.734375,4.0,8.5,23.0,28.0,6.0,14.0,47.125,Red
48.625,25.0,0.48,21.0,5.0,3.9375,7.455810546875,8.0,9.9296875,32.234375,15.0,10.0,24.0,4.0,37.421875,6.6875,30.0,4.0,8.650449752807617,121.75,Blue
75.0,25.0,0.44,29.875,35.0,6.125,7.0,6.125,8.5,67.0,320.125,2.0,18.0,23.0,93.0,9.0,27.0,1.0,7.5,119.0,Red
12.98046875,26.0,0.310849609375,19.5,3.3095703125,2.5,14.75,6.75,13.5,10.00390625,73.0,2.5693359375,5.037109375,2.5517578125,13.38671875,17.875,26.0,0.125,17.625,38.9560546875,Blue
7.7998046875,33.0,0.4425,22.21875,6.375,6.046875,3.359375,14.546875,3.171875,15.78125,29.796875,4.9375,7.492101669311523,3.0,25.0,2.46875,30.0,1.5,7.15625,43.09375,Blue
22.8466796875,30.0,0.33298828125,22.7193603515625,8.224609375,3.976318359375,0.5555419921875,11.4859619140625,41.8939208984375,19.5810546875,14.5819091796875,4.947265625,6.240234375,12.72265625,22.0302734375,2.517333984375,37.0,0.4404296875,1.5289306640625,62.84375,Red
22.0,30.0,0.485,4.0,21.0,0.0,0.0,1.0,2.0,26.0,0.0,2.5,12.5,13.5,13.0,0.0,26.0,1.5,0.0,43.0,Red
27.5,30.0,0.53125,50.0,6.75,14.0,7.0,19.0,2.0,35.5,178.0,1.5,12.0,26.0,17.25,7.0,27.0,1.0,14.0,96.25,Red
45.371967365790624,37.0,0.5987070262944326,62.0576171875,2.30563547660131,19.216796875,8.7041015625,4.625,7.1328125,36.26956543006236,52.9384765625,0.4173380907159298,13.856517162290402,3.1213455919642,23.46307286195224,11.251953125,30.0,1.083636419090908,15.08984375,43.48195652902359,Draw
7.34375,32.0,0.2690625,9.1875,4.625,2.1875,6.1875,2.9375,6.0625,11.5625,197.8125,2.25,1.65625,9.1875,17.6875,13.6875,30.0,2.0,7.875,82.0,Red
46.8125,26.0,0.400625,10.4375,21.4375,4.40625,5.5,5.9375,10.625,46.6875,181.1875,21.5,16.625,20.125,50.6875,12.53125,26.0,2.6875,6.34375,95.3125,Red
0.625,31.0,0.6799999999999999,48.0,0.5,1.5,10.0,1.640625,14.09375,1.75,194.4375,3.0,0.0,1.125,3.125,3.0,28.0,0.0,11.38720703125,6.5,Red
35.5625,35.0,0.40171875,9.921875,15.578125,4.21875,3.796875,1.234375,6.796875,43.9375,105.8125,3.1875,14.8125,16.390625,17.03125,2.046875,32.0,0.390625,6.203125,32.78125,Red
13.21875,24.0,0.2678125,15.423828125,6.0625,8.2890625,2.291015625,2.265625,5.763671875,12.65625,10.26953125,14.875,5.0625,9.8125,55.15625,2.30078125,28.0,1.59375,3.08984375,90.34375,Red
18.357421875,32.0,0.53646728515625,12.5,7.359130859375,5.0,2.75,11.5,24.75,14.588623046875,28.5,32.738037109375,9.530517578125,4.06005859375,40.784423828125,5.0,29.0,4.259033203125,5.0,118.793701171875,Red
1.953125,26.0,0.28984375,3.34375,0.5625,4.1875,0.8203125,6.5625,5.546875,0.953125,59.7265625,3.84375,0.53125,0.734375,7.859375,2.5625,25.0,0.515625,0.8828125,8.765625,Red
8.48193359375,25.0,0.6323828125,0.0,7.75,0.0,0.0,3.0,0.0,15.0,0.0,3.7294921875,28.0,15.6334228515625,21.125,0.0,29.0,1.0,0.0,45.0,Red
2.5,28.0,0.565,23.375,1.0,3.75,4.125,6.5,2.125,3.5,166.75,2.0,2.0,5.5,7.5,1.25,28.0,0.5,9.25,20.5,Red
