B_Height_cms,B_Weight_lbs,B_avg_opp_CTRL_time(seconds),gender,B_avg_CLINCH_att,B_avg_opp_GROUND_landed,R_Reach_cms,B_avg_REV,B_avg_SIG_STR_pct,R_avg_SIG_STR_pct,weight_class,B_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,B_avg_LEG_landed,B_age,B_win_by_Submission,B_avg_HEAD_landed,R_avg_opp_TD_att,B_avg_LEG_att,B_avg_GROUND_att,B_Reach_cms
185.42,170.0,320.125,1,9.0,2.625,195.58,0.375,0.5800000000000001,0.48,7,22.5,0.0,4.375,27.0,0.0,33.0,6.375,4.625,8.5,193.04
172.72,145.0,73.0,1,17.0,1.0,172.72,0.0,0.5762499999999999,0.297021484375,5,13.25,1.3759765625,5.125,26.0,0.0,20.375,1.9833984375,6.875,13.5,172.72
175.26,170.0,29.796875,1,2.46875,1.9375,177.8,0.03125,0.30203125,0.457109375,6,42.1781005859375,3.40625,0.546875,30.0,0.0,21.21875,0.0,0.671875,3.171875,182.88
185.42,205.0,14.5819091796875,1,2.517333984375,4.3341064453125,187.96,0.0,0.507823486328125,0.511455078125,8,25.9927978515625,1.1181640625,6.5054931640625,35.0,0.0,40.46875,1.66015625,10.2750244140625,18.875,193.04
172.72,170.0,0.0,1,0.0,0.0,182.88,0.0,0.2,0.39,6,2.0,8.0,0.0,26.0,0.0,4.0,0.5,1.0,2.0,187.96
170.18,135.0,178.0,0,7.0,1.0,172.72,0.0,0.36,0.53375,3,42.1781005859375,16.536739349365234,11.0,27.0,0.0,39.0,1.875,14.0,2.0,167.64
182.88,170.0,52.9384765625,1,11.251953125,6.3740234375,185.42,0.1484375,0.4505859375,0.2961795498599531,6,42.1781005859375,5.389183545776177,11.5,30.0,2.0,40.46875,0.7120487437932752,14.0,7.1328125,193.04
170.18,155.0,197.8125,1,13.6875,5.75,180.34,0.125,0.605,0.4209374999999999,5,5.5625,16.536739349365234,2.3125,30.0,1.0,13.75,6.375,2.75,6.0625,172.72
180.34,145.0,181.1875,1,12.53125,5.625,167.64,0.0,0.41125,0.41,4,8.96875,3.375,1.65625,26.0,1.0,15.75,4.0625,1.875,10.625,177.8
177.8,195.0,211.0,1,5.0,2.25,195.58,0.015625,0.365625,0.615,10,14.875,1.5,2.0,29.0,0.0,21.0,1.25,3.0,4.0,193.04
190.5,205.0,105.8125,1,2.046875,3.125,193.04,0.0,0.47140625,0.299375,8,5.875,16.536739349365234,0.515625,32.0,1.0,11.671875,6.375,0.875,6.796875,195.58
175.26,170.0,10.26953125,1,2.30078125,0.30078125,193.04,0.005859375,0.44494140625,0.5871875,6,16.953125,1.625,3.83984375,28.0,0.0,13.71875,2.09375,3.93359375,5.763671875,180.34
167.64,145.0,28.5,0,5.0,1.75,175.26,0.0,0.595,0.4696582031249999,4,26.75,9.27294921875,4.75,29.0,1.0,27.5,0.70654296875,5.25,18.875,172.72
177.8,155.0,59.7265625,1,2.5625,2.4375,180.34,0.015625,0.4164843749999999,0.46796875,5,7.0859375,0.515625,1.015625,25.0,2.0,6.1171875,1.40625,1.0234375,5.546875,180.34
172.72,155.0,0.0,1,0.0,2.0,177.80000000000004,0.0,0.0,0.40779296875,5,3.0,15.125,0.0,29.0,0.0,0.0,3.5,3.0,0.0,182.88
182.88,185.0,166.75,1,1.25,5.375,187.96,0.0,0.18875,0.615,7,24.875,2.5,2.5,28.0,0.0,18.625,2.0,3.75,2.125,185.42
165.1,135.0,316.5,1,0.5,3.5,175.26,0.5,0.605,0.53,3,4.5,6.0,2.0,26.0,1.0,4.5,4.0,2.0,3.5,177.8
177.8,170.0,43.140625,1,8.9609375,1.265625,193.04,0.0,0.521796875,0.615,6,28.58984375,6.427490234375,8.1640625,27.0,0.0,14.52734375,2.8106689453125,8.6171875,1.46484375,180.34
175.26,155.0,0.0,1,6.0,0.0,172.72,0.0,0.36,0.5474658203125,5,42.1781005859375,1.546875,5.0,24.0,0.0,26.0,1.33740234375,10.0,8.0,180.34
177.8,155.0,136.5625,1,4.0,6.0,177.8,0.0,0.1875,0.4775,5,12.8642578125,10.75,1.5,34.0,0.0,18.0,1.0,2.9453125,1.0,187.96
